antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski,antecedents_str,consequents_str
frozenset({'Charlotte Tilbury'}),"frozenset({'Make Up By Mario', 'Dior Beauty'})",0.5979899497487438,0.10050251256281408,0.08040201005025126,0.13445378151260504,1.33781512605042,1.0,0.02030251761319158,1.039225252475972,0.6281249999999998,0.13008130081300812,0.03774470682127598,0.46722689075630247,Charlotte Tilbury,"Make Up By Mario, Dior Beauty"
frozenset({'Dior Beauty'}),"frozenset({'Make Up By Mario', 'Charlotte Tilbury'})",0.19597989949748743,0.20100502512562815,0.08040201005025126,0.4102564102564103,2.0410256410256413,1.0,0.04100906542764072,1.3548175660913264,0.6343749999999999,0.253968253968254,0.2618932430253185,0.40512820512820513,Dior Beauty,"Make Up By Mario, Charlotte Tilbury"
"frozenset({'Charlotte Tilbury', 'Rare Beauty'})",frozenset({'Dior Beauty'}),0.19597989949748743,0.19597989949748743,0.07035175879396985,0.358974358974359,1.831689677843524,1.0,0.03194363778692458,1.2542713567839199,0.5647321428571429,0.21875000000000003,0.20272435897435898,0.358974358974359,"Charlotte Tilbury, Rare Beauty",Dior Beauty
"frozenset({'Charlotte Tilbury', 'Dior Beauty'})",frozenset({'Rare Beauty'}),0.15577889447236182,0.35175879396984927,0.07035175879396985,0.45161290322580644,1.2838709677419353,1.0,0.015555162748415438,1.1820869051138045,0.2619047619047618,0.160919540229885,0.15403850962740678,0.3258064516129032,"Charlotte Tilbury, Dior Beauty",Rare Beauty
"frozenset({'Dior Beauty', 'Rare Beauty'})",frozenset({'Charlotte Tilbury'}),0.09045226130653267,0.5979899497487438,0.07035175879396985,0.7777777777777778,1.3006535947712419,1.0,0.016262215600616144,1.809045226130653,0.25414364640883974,0.11382113821138211,0.4472222222222222,0.4477124183006536,"Dior Beauty, Rare Beauty",Charlotte Tilbury
frozenset({'Charlotte Tilbury'}),"frozenset({'Dior Beauty', 'Rare Beauty'})",0.5979899497487438,0.09045226130653267,0.07035175879396985,0.11764705882352941,1.3006535947712419,1.0,0.016262215600616144,1.0308207705192631,0.575,0.11382113821138211,0.029899252518687025,0.4477124183006536,Charlotte Tilbury,"Dior Beauty, Rare Beauty"
frozenset({'Rare Beauty'}),"frozenset({'Charlotte Tilbury', 'Dior Beauty'})",0.35175879396984927,0.15577889447236182,0.07035175879396985,0.19999999999999998,1.2838709677419353,1.0,0.015555162748415438,1.0552763819095476,0.34108527131782934,0.160919540229885,0.052380952380952354,0.3258064516129032,Rare Beauty,"Charlotte Tilbury, Dior Beauty"
frozenset({'Dior Beauty'}),"frozenset({'Charlotte Tilbury', 'Rare Beauty'})",0.19597989949748743,0.19597989949748743,0.07035175879396985,0.358974358974359,1.831689677843524,1.0,0.03194363778692458,1.2542713567839199,0.5647321428571429,0.21875000000000003,0.20272435897435898,0.358974358974359,Dior Beauty,"Charlotte Tilbury, Rare Beauty"
"frozenset({'Huda Beauty', 'Fenty Beauty'})",frozenset({'Charlotte Tilbury'}),0.09045226130653267,0.5979899497487438,0.07537688442211055,0.8333333333333333,1.3935574229691874,1.0,0.02128734122875684,2.4120603015075366,0.31049723756906067,0.12295081967213115,0.5854166666666665,0.47969187675070024,"Huda Beauty, Fenty Beauty",Charlotte Tilbury
"frozenset({'Huda Beauty', 'Charlotte Tilbury'})",frozenset({'Fenty Beauty'}),0.17587939698492464,0.23115577889447236,0.07537688442211055,0.4285714285714285,1.854037267080745,1.0,0.03472134542057018,1.3454773869346732,0.5589430894308941,0.22727272727272727,0.25676937441643316,0.3773291925465838,"Huda Beauty, Charlotte Tilbury",Fenty Beauty
"frozenset({'Fenty Beauty', 'Charlotte Tilbury'})",frozenset({'Huda Beauty'}),0.15577889447236182,0.2562814070351759,0.07537688442211055,0.4838709677419354,1.8880455407969636,1.0,0.03545365016034948,1.4409547738693465,0.557142857142857,0.22388059701492535,0.3060156931124672,0.38899430740037944,"Fenty Beauty, Charlotte Tilbury",Huda Beauty
frozenset({'Huda Beauty'}),"frozenset({'Fenty Beauty', 'Charlotte Tilbury'})",0.2562814070351759,0.15577889447236182,0.07537688442211055,0.2941176470588235,1.8880455407969636,1.0,0.03545365016034948,1.1959798994974873,0.6324324324324323,0.22388059701492535,0.16386554621848734,0.38899430740037944,Huda Beauty,"Fenty Beauty, Charlotte Tilbury"
